127.0.0.1 - - [15/May/2023:09:33:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:41 +0900] "GET /k20230512_1_bootstrap/index.html HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:41 +0900] "GET /k20230512_1_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:41 +0900] "GET /k20230512_1_bootstrap/images/jumbotronBackground.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:41 +0900] "GET /k20230512_1_bootstrap/images/logo.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:52 +0900] "GET /k20230512_1_bootstrap/index2.html HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:52 +0900] "GET /k20230512_1_bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:52 +0900] "GET /k20230512_1_bootstrap/js/jquery-3.7.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:33:52 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:35:25 +0900] "GET /k20230512_1_bootstrap/index2.html HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [15/May/2023:09:35:25 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:35:43 +0900] "GET /k20230512_1_bootstrap/index2.html HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [15/May/2023:09:35:43 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:26 +0900] "GET /k20230512_1_bootstrap/index3.html HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:26 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:54 +0900] "GET /k20230512_1_bootstrap/index3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:54 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:55 +0900] "GET /k20230512_1_bootstrap/index3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:55 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:55 +0900] "GET /k20230512_1_bootstrap/index3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:55 +0900] "GET /k20230512_1_bootstrap/images/bb.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/May/2023:09:38:56 +0900] "GET /k20230512_1_bootstrap/index3.html HTTP/1.1" 304 -
