127.0.0.1 - - [16/May/2023:09:37:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/May/2023:09:37:37 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:37:37 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [16/May/2023:09:37:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2023:09:38:20 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:38:20 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [16/May/2023:09:42:22 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:42:22 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:05 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:05 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 3957
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:06 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:06 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:06 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:06 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:07 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:07 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:43 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:45:43 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:07 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:07 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:08 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:09 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:51:09 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:53:09 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:09:53:09 +0900] "GET /k20230515_1_javascript/js/javascript02.js HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [16/May/2023:09:53:10 +0900] "GET /k20230515_1_javascript/02_javascript_%EB%B3%80%EC%88%98.html HTTP/1.1" 304 -
