0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:42 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:43 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:43 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:43 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:46 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:46 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:46 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [23/May/2023:09:56:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
