127.0.0.1 - - [18/May/2023:09:45:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2023:09:45:28 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:45:28 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [18/May/2023:09:45:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2023:09:49:07 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:49:07 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [18/May/2023:09:49:28 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:49:28 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:49:28 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:50:28 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:50:28 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [18/May/2023:09:51:17 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:09:51:17 +0900] "GET /k20230515_1_javascript/js/javascript13.js HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [18/May/2023:09:51:18 +0900] "GET /k20230515_1_javascript/13_javascript_%EB%8B%A8%EC%B6%95%EB%85%BC%EB%A6%AC.html HTTP/1.1" 304 -
